,subject_id_within_expert_type,trial_name,trial_nr,rating,rt,trial_name_number,trial_name_as_jittered_number,subject_id
0,5,a,0,-35,26.211249828338623,0.0,0.014062945059528773,15
2,5,b,2,55,10.110771894454958,1.0,1.0354838717717292,15
1,5,c,1,61,9.502328872680664,2.0,1.9655251138985113,15
0,12,a,0,44,11.802138090133667,0.0,0.016561429549114492,22
1,12,b,1,18,13.969722986221313,1.0,1.1710754580863876,22
2,12,c,2,4,18.1201171875,2.0,2.0295010808105514,22
1,7,a,1,13,10.102953910827637,0.0,0.17927796274114208,17
2,7,b,2,16,5.810934066772461,1.0,1.0652244804409219,17
0,7,c,0,18,10.227483034133913,2.0,1.9378705637805143,17
1,1,a,1,-6,35.954085111618035,0.0,0.12748801295170115,11
0,1,b,0,-81,9.210130214691162,1.0,0.8900158951909818,11
2,1,c,2,42,8.235733985900879,2.0,1.996104499571746,11
2,2,a,2,100,4.893823146820068,0.0,0.02813030663907063,12
1,2,b,1,98,5.993923902511598,1.0,1.1554430858904887,12
0,2,c,0,100,7.718548774719237,2.0,1.887527201296772,12
2,6,a,2,-3,44.355180978775024,0.0,0.09157730611516537,16
1,6,b,1,-66,65.8981819152832,1.0,1.160945021578202,16
0,6,c,0,17,97.9247419834137,2.0,2.0020355515071557,16
0,11,a,0,-17,25.71163296699524,0.0,0.0544966001934188,21
2,11,b,2,7,11.677674055099487,1.0,1.0002981018779282,21
1,11,c,1,37,8.419238090515138,2.0,2.025382183149557,21
2,13,a,2,5,4.310662984848023,0.0,-0.0457393100732042,23
1,13,b,1,23,3.5105020999908447,1.0,0.8883967715479913,23
0,13,c,0,-13,14.102370023727415,2.0,1.8997187021552402,23
1,8,a,1,-20,4.360667943954469,0.0,-0.031409617503283874,18
2,8,b,2,59,3.285521984100342,1.0,1.0867875544434917,18
0,8,c,0,11,11.76034688949585,2.0,2.044180011663038,18
2,9,a,2,-100,1.8024950027465818,0.0,0.03244649880138765,19
0,9,b,0,65,14.710391998291016,1.0,0.7713740962955551,19
1,9,c,1,61,4.1107330322265625,2.0,2.0281852944143473,19
0,10,a,0,36,15.194124937057495,0.0,-0.09716239602884796,20
1,10,b,1,-13,8.8775999546051,1.0,0.9271642457478259,20
2,10,c,2,38,6.610980033874513,2.0,2.051887707589529,20
0,3,a,0,-28,19.28595519065857,0.0,-0.01725553149580413,13
2,3,b,2,-94,8.494464874267576,1.0,0.8450713847764149,13
1,3,c,1,-86,17.511651039123535,2.0,2.118013462892588,13
2,4,a,2,-45,8.069090843200684,0.0,-0.040093179832154505,14
0,4,b,0,33,14.61043405532837,1.0,0.9906671396540009,14
1,4,c,1,-15,21.661860942840576,2.0,1.8653842437957198,14
0,5,a,0,61,7.726992130279541,0.0,0.005999984002856274,5
2,5,b,2,36,6.0608508586883545,1.0,0.9239226350595777,5
1,5,c,1,-10,8.660967111587523,2.0,2.010322803093608,5
1,7,a,1,-57,25.937182188034054,0.0,-0.026035930572247623,7
2,7,b,2,-53,11.211053848266602,1.0,0.9380736430942603,7
0,7,c,0,-88,27.81150913238525,2.0,1.927236665003355,7
1,1,a,1,86,10.977876901626587,0.0,-0.1548328370706002,1
0,1,b,0,78,11.343671798706055,1.0,1.0324395973736282,1
2,1,c,2,-14,13.411397933959961,2.0,2.1126451342560912,1
2,2,a,2,25,10.802746057510376,0.0,-0.10111872474015737,2
1,2,b,1,27,9.02761697769165,1.0,0.8734365531832731,2
0,2,c,0,-46,24.74452209472656,2.0,1.9111661383515055,2
2,6,a,2,27,5.385766983032227,0.0,-0.044856660885681264,6
1,6,b,1,17,6.56892991065979,1.0,1.0829289768831465,6
0,6,c,0,16,17.560590982437134,2.0,2.0973225088653256,6
1,8,a,1,23,6.702786922454834,0.0,-0.14422042107687716,8
2,8,b,2,31,3.977259874343872,1.0,0.8799020862876789,8
0,8,c,0,-9,16.252057075500492,2.0,2.0833803079703053,8
2,9,a,2,63,5.344280004501343,0.0,0.03381788928803774,9
0,9,b,0,21,4.368206977844238,1.0,0.8437463250730705,9
1,9,c,1,-13,4.635538816452026,2.0,1.9224321511635576,9
0,10,a,0,-83,9.743188858032227,0.0,-0.02945529251923883,10
1,10,b,1,-94,7.452557802200317,1.0,0.8453408767771295,10
2,10,c,2,-99,7.3942670822143555,2.0,1.9334650219099545,10
0,3,a,0,75,14.593899011611938,0.0,0.1600933183280164,3
2,3,b,2,39,2.735485076904297,1.0,0.927382417908468,3
1,3,c,1,1,11.061217069625854,2.0,2.0238494246818814,3
2,4,a,2,7,5.535819053649902,0.0,-0.15228857521665876,4
0,4,b,0,60,16.494256019592285,1.0,1.0677537911926105,4
1,4,c,1,33,17.911638975143433,2.0,2.147758119570947,4
