,subject_id_within_expert_type,trial_nr,block_nr,instr_type,trial_type,catch_trial,batch,layer,kernel_size,channel,query_order,correct,conf_rating,RT,timeout,response,correct_response,query_image_a,query_image_b,old_trial_nr,old_block_nr,seed,unit_name,abs_conf_rating,subject_id
39,5,39,5,optimized,main,False,7,layer_1,0,channel_0,max_min,True,-2,8.708906888961794,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_1/kernel_size_0/channel_0/natural_images/batch_7/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_1/kernel_size_0/channel_0/natural_images/batch_7/min_0.png,,,42,"3b, 1x1 ",2,5
40,5,40,5,optimized,main,False,7,layer_3,3,channel_0,min_max,True,3,5.538177728652954,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_3/kernel_size_3/channel_0/natural_images/batch_7/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_3/kernel_size_3/channel_0/natural_images/batch_7/max_9.png,,,42,"4b, P ",3,5
41,5,41,5,optimized,main,True,0,layer_m,m,channel_m,max_min,True,-3,4.787932872772217,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_m/kernel_size_m/channel_m/optimized_images/max_3.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_m/kernel_size_m/channel_m/optimized_images/min_6.png,,,42,"layer_m, m ",3,5
42,5,42,5,optimized,main,False,7,layer_0,3,channel_1,max_min,False,2,6.774833679199219,False,b,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_0/kernel_size_3/channel_1/natural_images/batch_7/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_0/kernel_size_3/channel_1/natural_images/batch_7/min_0.png,,,42,"3a, P int.",2,5
43,5,43,5,optimized,main,False,7,layer_0,1,channel_0,max_min,False,2,28.88914775848389,False,b,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_0/kernel_size_1/channel_0/natural_images/batch_7/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_0/kernel_size_1/channel_0/natural_images/batch_7/min_0.png,,,42,"3a, 3x3 ",2,5
44,5,44,5,optimized,main,False,7,layer_1,1,channel_0,min_max,True,2,10.232952833175661,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_1/kernel_size_1/channel_0/natural_images/batch_7/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_1/kernel_size_1/channel_0/natural_images/batch_7/max_9.png,,,42,"3b, 3x3 ",2,5
45,5,45,5,optimized,main,False,7,layer_1,3,channel_1,min_max,True,3,10.019201755523682,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_1/kernel_size_3/channel_1/natural_images/batch_7/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_1/kernel_size_3/channel_1/natural_images/batch_7/max_9.png,,,42,"3b, P int.",3,5
46,5,46,5,optimized,main,False,7,layer_8,3,channel_1,min_max,True,2,15.029202699661255,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_8/kernel_size_3/channel_1/natural_images/batch_7/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_8/kernel_size_3/channel_1/natural_images/batch_7/max_9.png,,,42,"5b, P int.",2,5
47,5,47,5,optimized,main,False,7,layer_2,0,channel_0,min_max,True,2,24.117663860321045,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_0/channel_0/natural_images/batch_7/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_0/channel_0/natural_images/batch_7/max_9.png,,,42,"4a, 1x1 ",2,5
48,5,48,5,optimized,main,False,7,layer_5,0,channel_0,max_min,False,2,9.380558729171751,False,b,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_5/kernel_size_0/channel_0/natural_images/batch_7/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_5/kernel_size_0/channel_0/natural_images/batch_7/min_0.png,,,42,"4d, 1x1 ",2,5
49,5,49,5,optimized,main,False,7,layer_7,2,channel_0,min_max,False,-2,19.379046916961673,False,a,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_7/kernel_size_2/channel_0/natural_images/batch_7/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_7/kernel_size_2/channel_0/natural_images/batch_7/max_9.png,,,42,"5a, 5x5 ",2,5
50,5,50,5,optimized,main,True,0,layer_p,p,channel_p,max_min,True,-3,2.4159748554229736,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_p/kernel_size_p/channel_p/optimized_images/max_4.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_p/kernel_size_p/channel_p/optimized_images/min_6.png,,,42,"layer_p, p ",3,5
51,5,51,5,optimized,main,False,7,layer_0,0,channel_0,max_min,False,2,11.36360478401184,False,b,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_0/kernel_size_0/channel_0/natural_images/batch_7/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_0/kernel_size_0/channel_0/natural_images/batch_7/min_0.png,,,42,"3a, 1x1 ",2,5
